player_id,max_market_value,player_name,age,position,minutes_played,goals,assists,yellow_cards,red_cards,club_name,domestic_competition_id,image_url,cluster,cluster_name
621993,11000000.0,Andrew Omobamidele,21.0,Defender,180,0,0,1,0,Norwich City,GB1,https://img.a.transfermarkt.technology/portrait/header/621993-1700738756.jpg?lm=1,Def_1,Young Defenders
622031,200000.0,Tommaso De Nipoti,20.0,Attack,1,0,1,0,0,Atalanta Bergamasca Calcio S.P.A.,IT1,https://img.a.transfermarkt.technology/portrait/header/622031-1643021542.jpg?lm=1,Att_1,Promising Prospects
622380,10000000.0,Cesare Casadei,21.0,Midfield,237,1,2,0,0,Leicester City Football Club,GB1,https://img.a.transfermarkt.technology/portrait/header/622380-1692967622.jpg?lm=1,Mid_0,Midfield Apprentices
622410,275000.0,Denys Ustymenko,24.0,Attack,66,0,0,0,0,Fk Kryvbas Kryvyi Rig,UKR1,https://img.a.transfermarkt.technology/portrait/header/622410-1611329586.png?lm=1,Att_1,Promising Prospects
622461,1000000.0,Sergey Babkin,21.0,Midfield,1251,2,1,1,0,Pfk Krylya Sovetov Samara,RU1,https://img.a.transfermarkt.technology/portrait/header/622461-1722144564.png?lm=1,Mid_0,Midfield Apprentices
622801,875000.0,Flavio Paoletti,21.0,Midfield,694,1,1,2,0,Fatih Karagümrük,TR1,https://img.a.transfermarkt.technology/portrait/header/622801-1701768163.png?lm=1,Mid_0,Midfield Apprentices
622830,75000.0,Hasan Emre Yeşilyurt,23.0,Midfield,1,0,0,0,0,Kasımpaşa Spor Kulübü,TR1,https://img.a.transfermarkt.technology/portrait/header/622830-1695905654.png?lm=1,Mid_0,Midfield Apprentices
622988,7000000.0,Fran Pérez,21.0,Attack,2243,1,4,4,0,Valencia Club De Fútbol S. A. D.,ES1,https://img.a.transfermarkt.technology/portrait/header/622988-1683212780.jpg?lm=1,Att_0,Breakthrough Ballers
622992,666666.6666666666,Pablo Gozálbez,23.0,Midfield,279,1,1,1,0,Valencia Club De Fútbol S. A. D.,ES1,https://img.a.transfermarkt.technology/portrait/header/622992-1698962957.jpg?lm=1,Mid_0,Midfield Apprentices
623024,2333333.333333333,Jesús Vázquez,21.0,Defender,918,1,0,1,0,Valencia Club De Fútbol S. A. D.,ES1,https://img.a.transfermarkt.technology/portrait/header/623024-1644238446.jpg?lm=1,Def_1,Young Defenders
623040,1150000.0,Yayah Kallon,23.0,Attack,3,0,0,0,0,Verona Hellas Football Club,IT1,https://img.a.transfermarkt.technology/portrait/header/623040-1630583424.jpg?lm=1,Att_1,Promising Prospects
623048,175000.0,Gerasimos Bakadimas,24.0,Defender,792,0,0,0,0,Pas Giannina,GR1,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,Def_1,Young Defenders
623072,200000.0,Nikolaos Athanasiou,23.0,Defender,1199,0,0,4,0,Aps Atromitos Athinon,GR1,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,Def_1,Young Defenders
623095,400000.0,Lynnt Audoor,20.0,Midfield,397,0,0,2,0,Koninklijke Voetbalclub Kortrijk,BE1,https://img.a.transfermarkt.technology/portrait/header/623095-1704452328.jpg?lm=1,Mid_0,Midfield Apprentices
623120,325000.0,Artur Serobyan,20.0,Attack,140,0,0,1,0,Casa Pia Atlético Clube,PO1,https://img.a.transfermarkt.technology/portrait/header/623120-1673869278.png?lm=1,Att_1,Promising Prospects
623249,50000.0,Minkail Matsuev,24.0,Midfield,22,0,0,0,0,Rfk Akhmat Grozny,RU1,https://img.a.transfermarkt.technology/portrait/header/623249-1722258483.png?lm=1,Mid_0,Midfield Apprentices
623274,2933333.333333333,Maksim Mukhin,22.0,Midfield,1095,2,1,2,0,Pfk Cska Moskva,RU1,https://img.a.transfermarkt.technology/portrait/header/623274-1690030980.png?lm=1,Mid_0,Midfield Apprentices
623322,137500.0,Mykhaylo Rudavskyi,23.0,Defender,176,0,0,0,0,Metalist 1925 Kharkiv,UKR1,https://img.a.transfermarkt.technology/portrait/header/623322-1576260389.png?lm=1,Def_1,Young Defenders
623325,23250000.0,Georgiy Sudakov,21.0,Midfield,2743,10,6,7,0,Fc Shakhtar Donetsk,UKR1,https://img.a.transfermarkt.technology/portrait/header/623325-1723486618.png?lm=1,Mid_1,Reliable Engines
623327,200000.0,Andriy Chyruk,23.0,Attack,425,0,0,3,0,Metalist 1925 Kharkiv,UKR1,https://img.a.transfermarkt.technology/portrait/header/623327-1576260861.png?lm=1,Att_1,Promising Prospects
623331,625000.0,Bogdan Viunnyk,22.0,Attack,170,1,2,1,0,Fc Shakhtar Donetsk,UKR1,https://img.a.transfermarkt.technology/portrait/header/623331-1691359548.png?lm=1,Att_1,Promising Prospects
623380,675000.0,Aleksandr Osipov,25.0,Midfield,1779,0,1,2,0,Baltika Kaliningrad,RU1,https://img.a.transfermarkt.technology/portrait/header/623380-1723366600.png?lm=1,Mid_2,Aging Strategists
623521,2900000.0,Juanmi Latasa,23.0,Attack,1793,5,0,7,0,Getafe Club De Fútbol S.A.D. Team Dubai,ES1,https://img.a.transfermarkt.technology/portrait/header/623521-1696862713.jpg?lm=1,Att_1,Promising Prospects
623524,2500000.0,Carlos Dotor,23.0,Midfield,883,0,0,2,0,Real Club Celta De Vigo S. A. D.,ES1,https://img.a.transfermarkt.technology/portrait/header/623524-1690276969.jpg?lm=1,Mid_0,Midfield Apprentices
623526,300000.0,Toni Fuidias,23.0,Goalkeeper,180,0,0,0,0,Girona Fútbol Club S. A. D.,ES1,https://img.a.transfermarkt.technology/portrait/header/623526-1648828410.png?lm=1,,
623553,2150000.0,Lechi Sadulaev,24.0,Attack,812,2,0,0,0,Rfk Akhmat Grozny,RU1,https://img.a.transfermarkt.technology/portrait/header/623553-1605979072.png?lm=1,Att_1,Promising Prospects
623560,400000.0,Liam Shaw,23.0,Midfield,90,0,0,0,0,Wigan Athletic,GB1,https://img.a.transfermarkt.technology/portrait/header/623560-1626165177.jpg?lm=1,Mid_0,Midfield Apprentices
623570,16500000.0,Iliman Ndiaye,24.0,Attack,2476,4,5,1,1,Olympique De Marseille,FR1,https://img.a.transfermarkt.technology/portrait/header/623570-1651653048.png?lm=1,Att_0,Breakthrough Ballers
623772,675000.0,Victor Bak,20.0,Defender,250,0,0,0,0,Fodbold Club Midtjylland,DK1,https://img.a.transfermarkt.technology/portrait/header/623772-1727290144.jpg?lm=1,Def_1,Young Defenders
624037,10000000.0,Joris Chotard,22.0,Midfield,2593,0,3,5,0,Montpellier Hérault Sport Club,FR1,https://img.a.transfermarkt.technology/portrait/header/624037-1702663463.JPG?lm=1,Mid_1,Reliable Engines
