player_name,transfer_fee,market_value_in_eur,days_since_last_transfer,num_transfers
Aleksandr Belenov,550000.0,1521428.5714285714,1247.6666666666667,7
Aleksandr Chernikov,0.0,250000.0,893.5,3
Aleksandr Chupayov,232000.0,85000.0,479.25,5
Aleksandr Degtev,0.0,25000.0,304.6666666666667,4
Aleksandr Deryugin,0.0,0.0,522.0,3
Aleksandr Dolgov,127000.0,307500.0,344.8888888888889,10
Aleksandr Dovbnya,0.0,200000.0,420.3529411764706,18
Aleksandr Ektov,825000.0,425000.0,598.5,7
Aleksandr Erokhin,0.0,1335000.0,405.8888888888889,10
Aleksandr Filin,0.0,400000.0,521.8571428571429,8
Aleksandr Golovin,30000000.0,8366666.666666667,926.0,3
Aleksandr Kokorin,44500000.0,4564285.714285715,463.53846153846155,14
Aleksandr Koksharov,0.0,350000.0,292.0,6
Aleksandr Koryakin,50000.0,133333.33333333334,328.6,6
Aleksandr Kovalenko,4830000.0,1090625.0,210.85714285714286,8
Aleksandr Kutitskiy,0.0,133333.33333333334,274.5,3
Aleksandr Lomovitskiy,1500000.0,1025000.0,280.9230769230769,14
Aleksandr Maksimenko,7000.0,193750.0,608.6666666666666,4
Aleksandr Martynovich,390000.0,971428.5714285715,1247.3333333333333,7
Aleksandr Mukhin,11000.0,159375.0,238.85714285714286,8
Aleksandr Osipov,35000.0,200000.0,1025.0,3
Aleksandr Pavlovets,275000.0,313888.8888888889,226.52941176470588,18
Aleksandr Putsko,0.0,362500.0,733.0,8
Aleksandr Rudenko,0.0,587500.0,495.14285714285717,8
Aleksandr Sandrachuk,50000.0,150000.0,487.0,4
Aleksandr Selikhov,3500000.0,666666.6666666666,584.4,6
Aleksandr Silyanov,0.0,1385000.0,410.25,5
Aleksandr Sobolev,14869000.0,2160000.0,432.6666666666667,10
Aleksandr Soldatenkov,200000.0,200000.0,1202.0,3
Aleksandr Troshechkin,600000.0,400000.0,346.8,11
Aleksandr Vasyutin,700000.0,286363.63636363635,428.8,11
Aleksandr Yushin,120000.0,146666.66666666666,419.7142857142857,15
Aleksandr Zhirov,25000.0,436363.63636363635,529.5,11
Aleksandr Zotov,0.0,543333.3333333334,378.2142857142857,15
Aleksey Baranovskiy,420000.0,100000.0,365.5,3
Aleksey Batrakov,0.0,100000.0,549.0,2
Aleksey Gritsaenko,0.0,650000.0,284.0,10
Aleksey Ionov,13700000.0,2127272.727272727,626.1,11
Aleksey Kashtanov,360000.0,233823.5294117647,280.4375,17
Aleksey Kenyaykin,0.0,64285.71428571428,360.3333333333333,7
Aleksey Koltakov,0.0,25000.0,286.5,3
Aleksey Lysov,50000.0,0.0,183.0,4
Aleksey Mamin,0.0,245000.0,730.5,5
Aleksey Miranchuk,14500000.0,8000000.0,1004.0,5
Aleksey Mironov,250000.0,340000.0,456.5,5
Aleksey Mutovkin,0.0,0.0,532.0,2
Aleksey Sutormin,5000000.0,1054166.6666666667,614.0909090909091,12
Aleksey Tataev,1460000.0,633333.3333333334,457.5,9
Alemão,0.0,0.0,152.0,2
Alen Halilovic,10000000.0,2692857.1428571427,220.0,21
Alen Mustafic,120000.0,210416.66666666666,300.8181818181818,12
Alen Ozbolt,570000.0,197727.27272727274,367.9,11
Alen Sherri,300000.0,185000.0,1010.25,5
Alerrandro,7200000.0,2760000.0,635.25,5
Alessandro Bastoni,31100000.0,2884375.0,208.57142857142858,8
Alessandro Berardi,0.0,132692.3076923077,226.91666666666666,13
Alessandro Berretta,0.0,0.0,,1
Alessandro Bianco,40000.0,1115000.0,608.6666666666666,10
Alessandro Buongiorno,35000000.0,4606250.0,471.42857142857144,8
Alessandro Calligaris,0.0,0.0,530.0,3
Alessandro Circati,0.0,50000.0,245.5,3
Alessandro Cortinovis,0.0,616666.6666666666,273.875,9
Alessandro Deiola,0.0,843750.0,284.90909090909093,12
Alessandro Dellavalle,0.0,114285.71428571429,365.3333333333333,7
Alessandro Di Pardo,4100000.0,283333.3333333333,232.36363636363637,12
Alessandro Florenzi,4650000.0,7965909.090909091,401.8,11
Alessandro Gabrielloni,0.0,53571.42857142857,279.1666666666667,7
Alessandro Marcandalli,0.0,657500.0,199.33333333333334,10
Alessandro Mercati,0.0,197222.22222222222,233.875,9
Alessandro Scacchetti,0.0,0.0,365.0,3
Alessandro Sorrentino,800000.0,200000.0,554.0,3
Alessandro Vinciguerra,0.0,0.0,303.0,2
Alessandro Vogliacco,2450000.0,570000.0,310.7857142857143,15
Alessandro Zanoli,1500000.0,2183333.3333333335,417.35714285714283,15
Alessio Castro-Montes,3200000.0,1010000.0,746.25,5
Alessio Cragno,5200000.0,2600000.0,431.6363636363636,12
Alessio Da Cruz,3480000.0,1056250.0,215.47826086956522,24
Alessio Furlanetto,0.0,41666.666666666664,365.2,6
Alessio Iovine,0.0,118750.0,731.6666666666666,4
Alessio Romagnoli,25000000.0,5850000.0,805.8,6
Alessio Zerbin,200000.0,1066666.6666666667,268.29411764705884,18
Alex Almansa,0.0,0.0,647.5,3
Alex Cochrane,1200000.0,300000.0,326.3333333333333,10
Alex Dobre,1600000.0,419230.76923076925,210.41666666666666,13
Alex Ferguson,0.0,41666.666666666664,262.8181818181818,12
Alex Fernandes,850000.0,266666.6666666667,756.0,3
Alex Gogic,0.0,214285.7142857143,555.8333333333334,7
Alex Greive,0.0,216666.66666666666,293.6,6
Alex Iacovitti,0.0,75000.0,293.7,11
Alex Iwobi,56100000.0,10600000.0,1019.75,5
Alex Král,12900000.0,3960937.5,324.26666666666665,16
Alex Lowry,0.0,212500.0,310.6666666666667,4
Alex Marques,0.0,0.0,730.6666666666666,4
Alex Matos,0.0,300000.0,631.5,5
Alex Mccarthy,13400000.0,497222.22222222225,195.23529411764707,18
Alex Meret,26000000.0,10692857.142857144,365.1666666666667,7
Alex Mighten,0.0,514285.71428571426,238.33333333333334,7
Alex Murphy,100000.0,83333.33333333333,609.0,3
Alex Méndez,0.0,133333.33333333334,411.0,9
Alex Oxlade-Chamberlain,51800000.0,6310000.0,1288.75,5
Alex Palmer,2400000.0,100000.0,230.375,17
Alex Pinto,0.0,415000.0,527.6666666666666,10
Alex Pritchard,21865000.0,1386666.6666666667,391.35714285714283,15
Alex Quevedo,0.0,0.0,548.0,3
Alex Samuel,0.0,88636.36363636363,435.2,11
Alex Sandro,39800000.0,3800000.0,974.0,7
Alex Scott,23000000.0,6683333.333333333,658.5,3
Alex Soares,0.0,221875.0,476.73333333333335,16
Alex Suárez,0.0,50000.0,730.5,5
Alexander Bah,10280000.0,1407142.857142857,547.8333333333334,7
Alexander Bernhardsson,600000.0,250000.0,737.3333333333334,4
Alexander Brunst,200000.0,81250.0,730.4285714285714,8
Alexander Busch,0.0,50000.0,699.0,2
Alexander Callens,300000.0,825000.0,756.4285714285714,8
Alexander Djiku,6500000.0,3470000.0,1006.5,5
Alexander Isak,93600000.0,7250000.0,430.3333333333333,7
Alexander Jakobsen,0.0,169444.44444444444,432.2352941176471,18
Alexander Jensen,650000.0,305000.0,779.5,5
Alexander Jeremejeff,2170000.0,820833.3333333334,381.6363636363636,12
Alexander Lind,0.0,100000.0,731.0,2
Alexander Lyng,350000.0,387500.0,480.0,4
Alexander Madsen,0.0,0.0,731.0,2
Alexander Meyer,400000.0,155555.55555555556,776.125,9
Alexander Nybo,0.0,90000.0,1052.25,5
Alexander Nübel,600000.0,4360000.0,852.1111111111111,10
Alexander Prass,9600000.0,1411111.111111111,680.5,9
Alexander Schwolow,7000000.0,1052083.3333333333,599.9090909090909,12
Alexander Simmelhack,350000.0,40000.0,286.75,5
Alexander Sørloth,79000000.0,8191666.666666667,309.7647058823529,18
Alexandre Lacazette,53000000.0,13750000.0,1704.3333333333333,4
Alexandre Letellier,0.0,577272.7272727273,547.9,11
Alexandre Olliero,300000.0,331250.0,500.14285714285717,8
Alexandre Oukidja,0.0,200000.0,593.5,9
Alexandre Penetra,4200000.0,666666.6666666666,662.0,6
Alexandre Pierre,0.0,83333.33333333333,365.4,6
Alexandre Tunkadi,0.0,0.0,730.0,2
Alexandro Bernabéi,4350000.0,1825000.0,608.6666666666666,4
Alexandro Calut,0.0,114285.71428571429,547.8333333333334,7
Alexandros Anagnostopoulos,0.0,216666.66666666666,803.8,6
Alexandros Lolis,0.0,133333.33333333334,886.5,3
Alexandros Malis,0.0,87500.0,967.6666666666666,4
Alexandros Maskanakis,0.0,0.0,,1
Alexandros Parras,0.0,100000.0,837.3333333333334,4
Alexandros Paschalakis,0.0,356250.0,743.2857142857143,8
Alexandros Salvanos,0.0,0.0,366.0,2
Alexandros Tereziou,0.0,39285.71428571428,308.3333333333333,7
Alexandros Tsompanidis,0.0,16666.666666666668,218.0,3
Alexandros Voilis,0.0,211111.11111111112,309.375,9
Alexandru Borbei,100000.0,58333.333333333336,638.5,3
Alexandru Cicâldău,8800000.0,3568750.0,521.7142857142857,8
Alexandru Maxim,4500000.0,1338461.5384615385,578.1666666666666,13
Alexei Koselev,0.0,243750.0,431.72727272727275,12
Alexios Kalogeropoulos,35000.0,380000.0,436.75,5
Alexis Beka Beka,18000000.0,1012500.0,497.3333333333333,4
Alexis Blin,3450000.0,2562500.0,577.4285714285714,8
Alexis Claude-Maurice,13000000.0,2388888.888888889,509.75,9
Alexis De Sart,350000.0,736363.6363636364,438.3,11
Alexis Duarte,4000000.0,1333333.3333333333,834.0,3
Alexis Flips,3500000.0,1837500.0,324.55555555555554,10
Alexis Kabamba,0.0,0.0,547.5,3
Alexis Mac Allister,50000000.0,12187500.0,417.42857142857144,8
Alexis Saelemaekers,7650000.0,7181818.181818182,365.2,11
Alexis Sánchez,105500000.0,13700000.0,511.5,15
Alexis Tibidi,2600000.0,1370000.0,120.77777777777777,10
Alexis Trouillet,0.0,1014285.7142857143,365.1666666666667,7
Alexsandro,2000000.0,160000.0,501.75,5
Alfie Bavidge,0.0,0.0,350.0,3
Alfie Devine,0.0,1422222.2222222222,224.75,9
Alfie Dorrington,0.0,350000.0,476.6666666666667,4
Alfie Doughty,0.0,190000.0,162.33333333333334,10
Alfie Gilchrist,0.0,100000.0,639.5,3
Alfie Pond,580000.0,56250.0,130.71428571428572,8
Alfie Whiteman,0.0,442857.14285714284,456.6666666666667,7
Alfon González,250000.0,189285.7142857143,224.76923076923077,14
Alfons Sampsted,0.0,189583.33333333334,267.09090909090907,12
Alfonso Espino,0.0,950000.0,1053.75,5
Alfonso Pedraza,0.0,3458333.3333333335,300.6363636363636,12
Alfonso Trezza,183000.0,333333.3333333333,844.0,3
